[40215.0, 3714.40474, 'N', 12646.38432, 'E', 'A']
[40216.0, 3714.40529, 'N', 12646.38471, 'E', 'A']
[40217.0, 3714.40586, 'N', 12646.38511, 'E', 'A']
[40218.0, 3714.40644, 'N', 12646.38543, 'E', 'A']
[40219.0, 3714.40701, 'N', 12646.38581, 'E', 'A']
[40220.0, 3714.40747, 'N', 12646.38615, 'E', 'A']
[40221.0, 3714.40791, 'N', 12646.38648, 'E', 'A']
[40222.0, 3714.40849, 'N', 12646.38685, 'E', 'A']
[40223.0, 3714.40902, 'N', 12646.38723, 'E', 'A']
[40224.0, 3714.40945, 'N', 12646.38756, 'E', 'A']
[40225.0, 3714.40973, 'N', 12646.38774, 'E', 'A']
[40226.0, 3714.41016, 'N', 12646.38804, 'E', 'A']
[40227.0, 3714.41074, 'N', 12646.38842, 'E', 'A']
[40228.0, 3714.41129, 'N', 12646.3888, 'E', 'A']
[40229.0, 3714.41186, 'N', 12646.38916, 'E', 'A']
[40230.0, 3714.41249, 'N', 12646.38957, 'E', 'A']
[40231.0, 3714.41312, 'N', 12646.39001, 'E', 'A']
[40232.0, 3714.41376, 'N', 12646.39049, 'E', 'A']
[40233.0, 3714.41434, 'N', 12646.39095, 'E', 'A']
[40234.0, 3714.41493, 'N', 12646.39133, 'E', 'A']
[40235.0, 3714.4156, 'N', 12646.39169, 'E', 'A']
[40236.0, 3714.41629, 'N', 12646.39215, 'E', 'A']
[40237.0, 3714.41689, 'N', 12646.39259, 'E', 'A']
[40239.0, 3714.41781, 'N', 12646.39355, 'E', 'A']
[40239.0, 3714.41781, 'N', 12646.39355, 'E', 'A']
[40240.0, 3714.4182, 'N', 12646.3942, 'E', 'A']
[40241.0, 3714.41847, 'N', 12646.39486, 'E', 'A']
[40243.0, 3714.41882, 'N', 12646.39651, 'E', 'A']
[40244.0, 3714.41881, 'N', 12646.39736, 'E', 'A']
[40245.0, 3714.41874, 'N', 12646.3982, 'E', 'A']
[40246.0, 3714.41854, 'N', 12646.39904, 'E', 'A']
[40247.0, 3714.4183, 'N', 12646.39981, 'E', 'A']
[40248.0, 3714.41801, 'N', 12646.40056, 'E', 'A']
[40249.0, 3714.41768, 'N', 12646.40131, 'E', 'A']
[40250.0, 3714.41737, 'N', 12646.40198, 'E', 'A']
[40251.0, 3714.41705, 'N', 12646.40281, 'E', 'A']
[40252.0, 3714.4167, 'N', 12646.40364, 'E', 'A']
[40253.0, 3714.41645, 'N', 12646.40449, 'E', 'A']
[40254.0, 3714.4161, 'N', 12646.40537, 'E', 'A']
[40255.0, 3714.41577, 'N', 12646.40618, 'E', 'A']
[40256.0, 3714.41547, 'N', 12646.40694, 'E', 'A']
[40257.0, 3714.41515, 'N', 12646.40778, 'E', 'A']
[40258.0, 3714.41485, 'N', 12646.40861, 'E', 'A']
[40259.0, 3714.41455, 'N', 12646.40939, 'E', 'A']
[40300.0, 3714.41419, 'N', 12646.41023, 'E', 'A']
[40301.0, 3714.41384, 'N', 12646.41106, 'E', 'A']
[40302.0, 3714.41346, 'N', 12646.41185, 'E', 'A']
[40303.0, 3714.41304, 'N', 12646.41259, 'E', 'A']
[40304.0, 3714.41267, 'N', 12646.41331, 'E', 'A']
[40305.0, 3714.41233, 'N', 12646.41407, 'E', 'A']
[40306.0, 3714.41203, 'N', 12646.41492, 'E', 'A']
[40307.0, 3714.41171, 'N', 12646.41573, 'E', 'A']
[40308.0, 3714.41135, 'N', 12646.4166, 'E', 'A']
[40309.0, 3714.41106, 'N', 12646.41743, 'E', 'A']
[40310.0, 3714.41074, 'N', 12646.41823, 'E', 'A']
[40311.0, 3714.41046, 'N', 12646.41902, 'E', 'A']
[40312.0, 3714.41013, 'N', 12646.41975, 'E', 'A']
[40313.0, 3714.40978, 'N', 12646.42059, 'E', 'A']
[40314.0, 3714.40946, 'N', 12646.42137, 'E', 'A']
[40315.0, 3714.40911, 'N', 12646.42212, 'E', 'A']
[40316.0, 3714.40873, 'N', 12646.42298, 'E', 'A']
[40317.0, 3714.40834, 'N', 12646.42382, 'E', 'A']
[40318.0, 3714.408, 'N', 12646.42465, 'E', 'A']
[40319.0, 3714.40765, 'N', 12646.42544, 'E', 'A']
[40320.0, 3714.40726, 'N', 12646.42626, 'E', 'A']
[40321.0, 3714.40693, 'N', 12646.42706, 'E', 'A']
[40322.0, 3714.40666, 'N', 12646.42789, 'E', 'A']
[40323.0, 3714.40641, 'N', 12646.42867, 'E', 'A']
[40324.0, 3714.40612, 'N', 12646.42943, 'E', 'A']
[40325.0, 3714.40584, 'N', 12646.4302, 'E', 'A']
[40326.0, 3714.40552, 'N', 12646.43087, 'E', 'A']
[40327.0, 3714.4052, 'N', 12646.43155, 'E', 'A']
[40328.0, 3714.40487, 'N', 12646.43224, 'E', 'A']
[40329.0, 3714.40453, 'N', 12646.43293, 'E', 'A']
[40330.0, 3714.4042, 'N', 12646.43368, 'E', 'A']
[40331.0, 3714.40394, 'N', 12646.43446, 'E', 'A']
[40332.0, 3714.40369, 'N', 12646.43519, 'E', 'A']
[40333.0, 3714.4034, 'N', 12646.4361, 'E', 'A']
[40334.0, 3714.40302, 'N', 12646.43705, 'E', 'A']
[40335.0, 3714.40268, 'N', 12646.43776, 'E', 'A']
[40336.0, 3714.40236, 'N', 12646.43866, 'E', 'A']
[40337.0, 3714.40204, 'N', 12646.43956, 'E', 'A']
[40338.0, 3714.40173, 'N', 12646.44044, 'E', 'A']
[40339.0, 3714.4014, 'N', 12646.44115, 'E', 'A']
[40340.0, 3714.40108, 'N', 12646.44186, 'E', 'A']
[40341.0, 3714.40077, 'N', 12646.44267, 'E', 'A']
[40342.0, 3714.40036, 'N', 12646.44362, 'E', 'A']
[40343.0, 3714.4, 'N', 12646.44439, 'E', 'A']
[40344.0, 3714.39957, 'N', 12646.4452, 'E', 'A']
[40345.0, 3714.39926, 'N', 12646.44592, 'E', 'A']
[40346.0, 3714.39898, 'N', 12646.44663, 'E', 'A']
[40347.0, 3714.39864, 'N', 12646.44745, 'E', 'A']
[40348.0, 3714.39834, 'N', 12646.44829, 'E', 'A']
[40349.0, 3714.3981, 'N', 12646.44908, 'E', 'A']
[40350.0, 3714.39787, 'N', 12646.4499, 'E', 'A']
[40351.0, 3714.3976, 'N', 12646.45079, 'E', 'A']
[40352.0, 3714.39738, 'N', 12646.45166, 'E', 'A']
[40353.0, 3714.39724, 'N', 12646.45257, 'E', 'A']
[40354.0, 3714.3972, 'N', 12646.45356, 'E', 'A']
[40355.0, 3714.39726, 'N', 12646.4545, 'E', 'A']
[40356.0, 3714.39746, 'N', 12646.45531, 'E', 'A']
[40357.0, 3714.39776, 'N', 12646.45616, 'E', 'A']
[40358.0, 3714.39813, 'N', 12646.45687, 'E', 'A']
[40359.0, 3714.39857, 'N', 12646.45759, 'E', 'A']
[40400.0, 3714.39903, 'N', 12646.45819, 'E', 'A']
[40401.0, 3714.39957, 'N', 12646.45866, 'E', 'A']
[40402.0, 3714.40014, 'N', 12646.4591, 'E', 'A']
[40403.0, 3714.40073, 'N', 12646.4594, 'E', 'A']
[40404.0, 3714.40132, 'N', 12646.45974, 'E', 'A']
[40405.0, 3714.40189, 'N', 12646.46009, 'E', 'A']
[40406.0, 3714.40247, 'N', 12646.46042, 'E', 'A']
[40407.0, 3714.40302, 'N', 12646.46082, 'E', 'A']
[40408.0, 3714.40357, 'N', 12646.46117, 'E', 'A']
[40409.0, 3714.40413, 'N', 12646.4615, 'E', 'A']
[40410.0, 3714.40465, 'N', 12646.46186, 'E', 'A']
[40411.0, 3714.40521, 'N', 12646.46213, 'E', 'A']
[40412.0, 3714.40581, 'N', 12646.46247, 'E', 'A']
