[41031.0, 3714.40235, 'N', 12646.38394, 'E', 'A']
[41032.0, 3714.40296, 'N', 12646.38418, 'E', 'A']
[41033.0, 3714.40357, 'N', 12646.38449, 'E', 'A']
[41034.0, 3714.40416, 'N', 12646.38473, 'E', 'A']
[41035.0, 3714.40469, 'N', 12646.38507, 'E', 'A']
[41036.0, 3714.40522, 'N', 12646.38547, 'E', 'A']
[41037.0, 3714.40583, 'N', 12646.38584, 'E', 'A']
[41038.0, 3714.40645, 'N', 12646.38622, 'E', 'A']
[41039.0, 3714.40704, 'N', 12646.3866, 'E', 'A']
[41040.0, 3714.40766, 'N', 12646.38697, 'E', 'A']
[41041.0, 3714.40824, 'N', 12646.38736, 'E', 'A']
[41042.0, 3714.40875, 'N', 12646.38766, 'E', 'A']
[41043.0, 3714.40926, 'N', 12646.38787, 'E', 'A']
[41044.0, 3714.40982, 'N', 12646.38816, 'E', 'A']
[41045.0, 3714.41042, 'N', 12646.38838, 'E', 'A']
[41046.0, 3714.41099, 'N', 12646.38864, 'E', 'A']
[41047.0, 3714.41153, 'N', 12646.38898, 'E', 'A']
[41048.0, 3714.4121, 'N', 12646.38933, 'E', 'A']
[41049.0, 3714.41266, 'N', 12646.38968, 'E', 'A']
[41050.0, 3714.4132, 'N', 12646.39005, 'E', 'A']
[41051.0, 3714.41374, 'N', 12646.39039, 'E', 'A']
[41052.0, 3714.41437, 'N', 12646.39071, 'E', 'A']
[41053.0, 3714.41497, 'N', 12646.39103, 'E', 'A']
[41054.0, 3714.41557, 'N', 12646.39143, 'E', 'A']
[41055.0, 3714.4161, 'N', 12646.39182, 'E', 'A']
[41056.0, 3714.41664, 'N', 12646.3922, 'E', 'A']
[41057.0, 3714.41714, 'N', 12646.39267, 'E', 'A']
[41058.0, 3714.41756, 'N', 12646.39319, 'E', 'A']
[41059.0, 3714.41791, 'N', 12646.39388, 'E', 'A']
[41100.0, 3714.41814, 'N', 12646.3947, 'E', 'A']
[41101.0, 3714.41822, 'N', 12646.39556, 'E', 'A']
[41102.0, 3714.41821, 'N', 12646.39642, 'E', 'A']
[41103.0, 3714.4181, 'N', 12646.39725, 'E', 'A']
[41104.0, 3714.41792, 'N', 12646.39811, 'E', 'A']
[41105.0, 3714.41761, 'N', 12646.39894, 'E', 'A']
[41106.0, 3714.41729, 'N', 12646.39976, 'E', 'A']
[41107.0, 3714.41697, 'N', 12646.40058, 'E', 'A']
[41108.0, 3714.41666, 'N', 12646.40141, 'E', 'A']
[41109.0, 3714.41636, 'N', 12646.40218, 'E', 'A']
[41110.0, 3714.41609, 'N', 12646.40298, 'E', 'A']
[41111.0, 3714.4158, 'N', 12646.40378, 'E', 'A']
[41112.0, 3714.41551, 'N', 12646.40453, 'E', 'A']
[41113.0, 3714.4152, 'N', 12646.40532, 'E', 'A']
[41114.0, 3714.41488, 'N', 12646.40611, 'E', 'A']
[41115.0, 3714.41457, 'N', 12646.40691, 'E', 'A']
[41116.0, 3714.41424, 'N', 12646.40772, 'E', 'A']
[41117.0, 3714.4139, 'N', 12646.4085, 'E', 'A']
[41118.0, 3714.4136, 'N', 12646.40926, 'E', 'A']
[41119.0, 3714.41331, 'N', 12646.41001, 'E', 'A']
[41120.0, 3714.413, 'N', 12646.41084, 'E', 'A']
[41121.0, 3714.41271, 'N', 12646.41166, 'E', 'A']
[41122.0, 3714.41242, 'N', 12646.41244, 'E', 'A']
[41123.0, 3714.41207, 'N', 12646.41326, 'E', 'A']
[41124.0, 3714.4117, 'N', 12646.41409, 'E', 'A']
[41125.0, 3714.41134, 'N', 12646.41486, 'E', 'A']
[41126.0, 3714.41098, 'N', 12646.4156, 'E', 'A']
[41127.0, 3714.41067, 'N', 12646.41633, 'E', 'A']
[41128.0, 3714.41037, 'N', 12646.41712, 'E', 'A']
[41129.0, 3714.41003, 'N', 12646.41793, 'E', 'A']
